county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county
48023,Baylor,3463,14.9,"(12.6, 17.2)",11.6,0,0,0.0,No,33.616402,-99.2135138,86.1,NCT06112418,Hendrick Health,Abilene,Taylor
48331,Milam,25951,14.9,"(12.9, 17.1)",11.9,0,0,0.0,No,30.7862144,-96.9769376,30.6,NCT06906627,Baylor Scott & White,Temple,Bell
48089,Colorado,21117,14.9,"(12.8, 16.9)",11.6,0,0,0.0,No,29.6207026,-96.5262493,43.6,NCT05390892,Premier Internal Medicine Associates of Houston,Katy,Fort Bend
48093,Comanche,14050,14.8,"(12.9, 17.0)",11.4,0,0,0.0,No,31.9479024,-98.5580986,28.1,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath
48413,Schleicher,2391,14.8,"(13.4, 16.2)",11.9,0,0,0.0,No,30.8975609,-100.5385533,101.9,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48295,Lipscomb,2906,14.8,"(12.7, 17.1)",12.1,0,0,0.0,No,36.2776155,-100.2731154,113.8,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48239,Jackson,15221,14.7,"(12.7, 16.6)",12.1,0,0,0.0,No,28.9541412,-96.5775003,65.6,NCT07215559,Aavon Clinical Trials,Richmond,Fort Bend
48111,Dallam,7237,14.7,"(12.8, 16.6)",14.6,0,0,0.0,No,36.2779506,-102.6021854,84.8,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48399,Runnels,9868,14.7,"(12.7, 16.8)",11.8,0,0,0.0,No,31.8309608,-99.9762318,45.0,NCT06112418,Hendrick Health,Abilene,Taylor
48073,Cherokee,52217,14.7,"(12.6, 16.8)",12.6,0,0,0.0,No,31.8366722,-95.1649589,52.2,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg
48265,Kerr,53915,14.7,"(12.5, 17.0)",10.8,1,1,1.855,Yes,30.0615711,-99.349903,12.6,NCT07564414,Sante Clinical Research,Kerrville,Kerr
