county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site
48167,Galveston,361744,12.3,"(10.7, 14.0)",10.8,3,3,0.829,Yes
48425,Somervell,9888,12.3,"(10.5, 14.3)",9.8,0,0,0.0,No
48231,Hunt,113347,12.3,"(10.5, 14.1)",11.2,1,1,0.882,Yes
48317,Martin,5216,12.1,"(11.1, 13.1)",11.5,0,0,0.0,No
48485,Wichita,130180,12.1,"(10.4, 14.0)",11.6,0,0,0.0,No
48039,Brazoria,398938,12.0,"(10.5, 13.5)",11.3,0,0,0.0,No
48205,Hartley,5145,12.0,"(10.2, 13.9)",10.8,0,0,0.0,No
48157,Fort Bend,916778,12.0,"(10.4, 13.6)",11.1,12,9,1.309,Yes
48075,Childress,6788,12.0,"(10.4, 13.7)",12.0,0,0,0.0,No
48251,Johnson,202906,11.9,"(10.2, 13.7)",11.0,0,0,0.0,No
48497,Wise,78097,11.9,"(10.3, 13.7)",10.3,0,0,0.0,No
48165,Gaines,22523,11.8,"(10.2, 13.5)",12.3,0,0,0.0,No
48065,Carson,5878,11.7,"(10.1, 13.5)",9.3,0,0,0.0,No
48439,Tarrant,2182947,11.7,"(10.2, 13.3)",11.4,7,6,0.321,Yes
48211,Hemphill,3189,11.6,"(10.0, 13.5)",9.7,0,0,0.0,No
48393,Roberts,840,11.6,"( 9.8, 13.5)",8.9,0,0,0.0,No
48139,Ellis,222829,11.6,"(10.0, 13.4)",10.9,0,0,0.0,No
48339,Montgomery,711354,11.4,"( 9.7, 13.2)",10.4,2,2,0.281,Yes
48303,Lubbock,320940,11.4,"( 9.8, 13.0)",12.0,1,1,0.312,Yes
48441,Taylor,146836,11.2,"( 9.7, 12.9)",11.3,1,1,0.681,Yes
48257,Kaufman,185690,11.2,"( 9.7, 12.9)",11.5,1,1,0.539,Yes
48091,Comal,193928,11.2,"( 9.7, 13.0)",9.2,0,0,0.0,No
48259,Kendall,50537,11.1,"( 9.6, 13.1)",8.8,0,0,0.0,No
48473,Waller,63553,11.1,"( 9.6, 12.7)",12.2,0,0,0.0,No
48173,Glasscock,1141,10.9,"( 9.6, 12.1)",9.9,0,0,0.0,No
48143,Erath,44195,10.8,"( 9.3, 12.4)",11.0,3,3,6.788,Yes
48071,Chambers,53876,10.8,"( 9.3, 12.5)",10.7,0,0,0.0,No
48329,Midland,177108,10.8,"( 9.3, 12.3)",11.4,0,0,0.0,No
48381,Randall,148255,10.8,"( 9.2, 12.4)",10.0,0,0,0.0,No
48367,Parker,173494,10.7,"( 9.1, 12.5)",9.2,0,0,0.0,No
48431,Sterling,1397,10.5,"( 9.0, 12.2)",9.4,0,0,0.0,No
48099,Coryell,84878,10.3,"( 9.0, 11.8)",11.5,0,0,0.0,No
48209,Hays,280486,10.2,"( 8.8, 11.8)",10.8,2,2,0.713,Yes
48121,Denton,1007703,9.9,"( 8.5, 11.3)",9.6,7,7,0.695,Yes
48491,Williamson,697191,9.8,"( 8.5, 11.3)",9.5,3,3,0.43,Yes
48041,Brazos,244703,9.7,"( 8.4, 11.3)",12.5,0,0,0.0,No
48085,Collin,1195359,9.5,"( 8.2, 10.9)",9.1,9,9,0.753,Yes
48397,Rockwall,131307,9.4,"( 8.0, 10.8)",8.7,0,0,0.0,No
48453,Travis,1334961,9.0,"( 7.8, 10.2)",9.5,19,16,1.423,Yes
