nct_id,title,study_status,study_type,phase,facility,facility_status,city,state,zip_code,latitude,longitude
NCT06112418,A Randomized Comparison of Stage-Based Care Versus Risk Factor-Based Care for Prevention of Cardiovascular Events,RECRUITING,INTERVENTIONAL,NA,Aeres Clinical Research,RECRUITING,Laredo,Texas,78041,27.50641,-99.50754
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,Aeres Clinical Research,RECRUITING,Laredo,Texas,78041,27.50641,-99.50754
NCT06112418,A Randomized Comparison of Stage-Based Care Versus Risk Factor-Based Care for Prevention of Cardiovascular Events,RECRUITING,INTERVENTIONAL,NA,DC Clinical Research,RECRUITING,Lewisville,Texas,75057,33.04623,-96.99417
NCT07064473,"EASi-PROTKT™ - A Study to Test Vicadrostat (BI 690517) Taken Together With Empagliflozin in People With Type 2 Diabetes, High Blood Pressure, and Cardiovascular Disease",RECRUITING,INTERVENTIONAL,PHASE3,Epic Clinical Research,RECRUITING,Lewisville,Texas,75057,33.04623,-96.99417
NCT07296484,Trial Against INtractable Type 2 Diabetes (CAPTAIN-T2D),RECRUITING,INTERVENTIONAL,PHASE2,Alliance Clinical - Lewisville (Epic Clinical Research),NOT_YET_RECRUITING,Lewisville,Texas,75057,33.04623,-96.99417
NCT07502495,Phase 2 Trial of Icovamenib in Participants With Type 2 Diabetes Who Are Not Achieving Glycemic Targets,RECRUITING,INTERVENTIONAL,PHASE2,Epic Clinical Research,RECRUITING,Lewisville,Texas,75057,33.04623,-96.99417
NCT07502508,Phase 2 Trial of Icovamenib in Participants With Type 2 Diabetes Mellitus Who Are Not Achieving Glycemic Targets While Using GLP-1-Based Therapy,RECRUITING,INTERVENTIONAL,PHASE2,Epic Clinical Research,RECRUITING,Lewisville,Texas,75057,33.04623,-96.99417
NCT07546929,HP-211 Safety and Proof of Concept Dose Ranging Study in Patients With Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE2,Alliance Clinical Lewisville (Epic Clinical Research),RECRUITING,Lewisville,Texas,75057,33.04623,-96.99417
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,DCOL Ctr for Clin Res,RECRUITING,Longview,Texas,75605,32.5007,-94.74049
NCT06580964,Heat and Exercise in Aging as Therapy (HEAT),RECRUITING,INTERVENTIONAL,NA,Texas Tech University,RECRUITING,Lubbock,Texas,79409,33.57786,-101.85517
